phrase,verb-type,theme-type,phrase-type,fertilizer,insecticide,freezer,icing,canister,wrench,pump,oven,duster,vacuum,lubricant,knife,utensil,lacquer,dehydrator,saw,towel,food,polisher,vinegar,slingshot,pitcher,furnace,hammer,paint,organizer,dryer,glue,net,scissors,chisel
polish orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden orange,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat orange,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill fridge,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair fridge,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill microwave,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair microwave,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill blender,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair blender,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden blender,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat blender,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize plate,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair plate,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize cup,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair cup,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize bowl,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair bowl,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden bowl,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat bowl,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze orange-juice,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour orange-juice,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze apple-juice,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour apple-juice,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze tomato-juice,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour tomato-juice,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden tomato-juice,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat tomato-juice,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume pudding,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate pudding,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume pie,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate pie,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume cookie,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate cookie,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden cookie,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat cookie,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake chicken,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve chicken,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake duck,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve duck,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake turkey,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve turkey,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden turkey,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat turkey,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch salmon,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat salmon,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch trout,2,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat trout,3,control,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catch tilapia,2,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat tilapia,3,experimental,observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grow tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spray tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserve tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fill tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repair tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consume tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bake tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cut tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dust tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubricate tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pour tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polish tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decorate tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoot tilapia,2,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carve tilapia,3,experimental,unobserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
